age,Marital status,Income,Cap_Gains_Losses
52,Never-married,<=50K,0.02174
37,Divorced,<=50K,0
53,Married,<=50K,0
45,Married,<=50K,0
39,Married,<=50K,0
79,Married,>50K,0
78,Never-married,>50K,0.140841
37,Married,>50K,0.051781
60,Married,>50K,0
45,Never-married,<=50K,0
43,Never-married,<=50K,0
73,Married,>50K,0
39,Married,<=50K,0
40,Never-married,<=50K,0
36,Never-married,<=50K,0
44,Married,<=50K,0
58,Married,>50K,0
48,Separated,<=50K,0
36,Married,<=50K,0
49,Married,<=50K,0.468779
54,Divorced,<=50K,0
55,Married,>50K,0
44,Never-married,<=50K,0
60,Married,>50K,0
36,Divorced,<=50K,0
49,Married,<=50K,0
41,Never-married,<=50K,0
53,Divorced,<=50K,0.323232
53,Married,<=50K,0
36,Married,<=50K,0
36,Never-married,<=50K,0
46,Married,<=50K,0
30,Married,>50K,0
52,Married,<=50K,0
40,Married,<=50K,0
34,Married,>50K,0
48,Married,<=50K,0
51,Married,<=50K,0
54,Never-married,<=50K,0
38,Married,<=50K,0
47,Never-married,<=50K,0
35,Divorced,>50K,0
42,Divorced,<=50K,0
75,Married,>50K,0
46,Married,<=50K,0
35,Married,<=50K,0
44,Married,<=50K,0
40,Married,<=50K,0.050131
44,Married,<=50K,0.02407
46,Married,<=50K,0
50,Married,<=50K,0
47,Divorced,<=50K,0
40,Married,<=50K,0
42,Divorced,<=50K,0
73,Married,>50K,0
41,Never-married,<=50K,0
45,Never-married,<=50K,0
39,Married,>50K,0
50,Never-married,<=50K,0
37,Married,<=50K,0
39,Never-married,<=50K,0
35,Married,<=50K,0
49,Married,<=50K,0
45,Never-married,<=50K,0
36,Married,<=50K,0
40,Never-married,<=50K,0
40,Married,<=50K,0
41,Married,<=50K,0
44,Divorced,<=50K,0
57,Married,>50K,0
37,Married,<=50K,0
46,Never-married,<=50K,0
52,Never-married,>50K,0
67,Married,>50K,0
40,Never-married,<=50K,0
75,Married,>50K,0
46,Divorced,<=50K,0
46,Never-married,<=50K,0
33,Married,>50K,0.150242
47,Never-married,<=50K,0
42,Never-married,<=50K,0
47,Never-married,<=50K,0
43,Never-married,<=50K,0.340953
37,Never-married,<=50K,0
40,Married,<=50K,0
44,Married,>50K,0
40,Married,>50K,0.433196
39,Married,<=50K,0
72,Married,>50K,0
40,Married,<=50K,0
44,Never-married,<=50K,0
36,Never-married,<=50K,0
51,Married,<=50K,0
43,Never-married,<=50K,0
42,Married,>50K,0
39,Never-married,<=50K,0
41,Married,>50K,0
42,Married,<=50K,0
52,Never-married,<=50K,0
38,Never-married,<=50K,0.4045
45,Married,<=50K,0
42,Divorced,<=50K,0
51,Married,<=50K,0
43,Never-married,<=50K,0
39,Married,>50K,0
43,Married,<=50K,0
33,Never-married,>50K,0.359045
51,Never-married,<=50K,0
35,Never-married,<=50K,0
50,Widowed,<=50K,0
39,Married,<=50K,0.50023
52,Divorced,<=50K,0
44,Never-married,<=50K,0
43,Married,<=50K,0
37,Never-married,<=50K,0
49,Separated,<=50K,0.416896
49,Separated,<=50K,0
35,Divorced,<=50K,0
41,Divorced,<=50K,0
54,Never-married,<=50K,0
40,Married,>50K,0
54,Divorced,<=50K,0
45,Widowed,<=50K,0
52,Never-married,<=50K,0
50,Never-married,<=50K,0.454545
50,Married,>50K,0.453857
46,Never-married,<=50K,0
57,Married,>50K,0
38,Married,<=50K,0
54,Never-married,<=50K,0
43,Never-married,<=50K,0
42,Never-married,<=50K,0
39,Married,<=50K,0
54,Married,>50K,0
48,Divorced,<=50K,0
39,Never-married,<=50K,0
47,Married,<=50K,0
49,Divorced,<=50K,0
54,Divorced,<=50K,0
